tijdstip;temperatuur;PAR;zonlicht;RV;neerslag
8/10/2024 0:00;7.58;3.28;0;84.78;0
8/10/2024 0:02;7.53;3.26;0;84.78;0
8/10/2024 0:04;7.49;3.31;0;84.79;0
8/10/2024 0:06;7.44;3.31;0;84.74;0
8/10/2024 0:08;7.36;3.3;0;84.87;0
8/10/2024 0:10;7.25;3.32;0;84.77;0
8/10/2024 0:12;7.18;3.33;0;84.85;0
8/10/2024 0:14;7.18;3.36;0;84.77;0
8/10/2024 0:16;7.2;3.32;0;84.79;0
8/10/2024 0:18;7.18;3.33;0;84.79;0
8/10/2024 0:20;7.14;3.35;0;84.78;0
8/10/2024 0:22;7.12;3.32;0;84.81;0
8/10/2024 0:24;7.12;3.32;0;84.79;0
8/10/2024 0:26;7.09;3.38;0;84.79;0
8/10/2024 0:28;7.05;3.33;0;84.78;0
8/10/2024 0:30;7;3.31;0;84.86;0
8/10/2024 0:32;6.93;3.27;0;84.8;0
8/10/2024 0:34;6.89;3.3;0;84.81;0
8/10/2024 0:36;6.88;3.24;0;84.72;0
8/10/2024 0:38;6.86;3.27;0;84.79;0
8/10/2024 0:40;6.87;3.29;0;84.84;0
8/10/2024 0:42;6.87;3.29;0;84.75;0
8/10/2024 0:44;6.83;3.33;0;84.75;0
8/10/2024 0:46;6.8;3.31;0;84.79;0
8/10/2024 0:48;6.78;3.34;0;84.73;0
8/10/2024 0:50;6.75;3.34;0;84.76;0
8/10/2024 0:52;6.74;3.32;0;84.76;0
8/10/2024 0:54;6.76;3.34;0;84.79;0
8/10/2024 0:56;6.78;3.3;0;84.81;0
8/10/2024 0:58;6.81;3.26;0;84.82;0
8/10/2024 1:00;6.83;3.26;0;84.76;0
8/10/2024 1:02;6.82;3.28;0;84.81;0
8/10/2024 1:04;6.81;3.32;0;84.78;0
8/10/2024 1:06;6.8;3.33;0;84.72;0
8/10/2024 1:08;6.79;3.33;0;84.78;0
8/10/2024 1:10;6.76;3.28;0;84.74;0
8/10/2024 1:12;6.7;3.28;0;84.77;0
8/10/2024 1:14;6.68;3.28;0;84.8;0
8/10/2024 1:16;6.7;3.33;0;84.78;0
8/10/2024 1:18;6.75;3.32;0;84.69;0
8/10/2024 1:20;6.77;3.31;0;84.74;0
8/10/2024 1:22;6.78;3.33;0;84.79;0
8/10/2024 1:24;6.74;3.33;0;84.78;0
8/10/2024 1:26;6.71;3.28;0;84.76;0
8/10/2024 1:28;6.69;3.29;0;84.82;0
8/10/2024 1:30;6.71;3.3;0;84.75;0
8/10/2024 1:32;6.73;3.25;0;84.79;0
8/10/2024 1:34;6.72;3.28;0;84.77;0
8/10/2024 1:36;6.72;3.26;0;84.75;0
8/10/2024 1:38;6.72;3.25;0;84.77;0
8/10/2024 1:40;6.7;3.26;0;84.77;0
8/10/2024 1:42;6.64;3.29;0;84.77;0
8/10/2024 1:44;6.58;3.29;0;84.84;0
8/10/2024 1:46;6.53;3.27;0;84.78;0
8/10/2024 1:48;6.5;3.25;0;84.77;0
8/10/2024 1:50;6.46;3.25;0;84.75;0
8/10/2024 1:52;6.41;3.23;0;84.81;0
8/10/2024 1:54;6.41;3.22;0;84.75;0
8/10/2024 1:56;6.39;3.2;0;84.81;0
8/10/2024 1:58;6.4;3.2;0;84.82;0
8/10/2024 2:00;6.43;3.25;0;84.82;0
8/10/2024 2:02;6.4;3.26;0;84.79;0
8/10/2024 2:04;6.39;3.25;0;84.71;0
8/10/2024 2:06;6.34;3.24;0;84.76;0
8/10/2024 2:08;6.25;3.29;0;84.79;0
8/10/2024 2:10;6.21;3.23;0;84.73;0
8/10/2024 2:12;6.2;3.29;0;84.72;0
8/10/2024 2:14;6.38;3.24;0;84.79;0
8/10/2024 2:16;6.35;3.25;0;84.67;0
8/10/2024 2:18;6.24;3.29;0;84.73;0
8/10/2024 2:20;6.15;3.25;0;84.72;0
8/10/2024 2:22;6.08;3.27;0;84.73;0
8/10/2024 2:24;6.04;3.26;0;84.74;0
8/10/2024 2:26;6.05;3.24;0;84.7;0
8/10/2024 2:28;6;3.26;0;84.78;0
8/10/2024 2:30;5.94;3.29;0;84.69;0
8/10/2024 2:32;5.89;3.32;0;84.66;0
8/10/2024 2:34;5.95;3.32;0;84.71;0
8/10/2024 2:36;6.05;3.36;0;84.8;0
8/10/2024 2:38;6.12;3.34;0;84.69;0
8/10/2024 2:40;6.05;3.28;0;84.77;0
8/10/2024 2:42;5.99;3.34;0;84.71;0
8/10/2024 2:44;5.92;3.35;0;84.7;0
8/10/2024 2:46;5.84;3.32;0;84.8;0
8/10/2024 2:48;5.81;3.28;0;84.78;0
8/10/2024 2:50;5.84;3.31;0;84.74;0
8/10/2024 2:52;5.83;3.28;0;84.7;0
8/10/2024 2:54;5.77;3.3;0;84.81;0
8/10/2024 2:56;5.71;3.3;0;84.75;0
8/10/2024 2:58;5.78;3.32;0;84.76;0
8/10/2024 3:00;5.85;3.26;0;84.8;0
8/10/2024 3:02;5.84;3.33;0;84.76;0
8/10/2024 3:04;5.81;3.33;0;84.76;0
8/10/2024 3:06;5.82;3.28;0;84.69;0
8/10/2024 3:08;5.74;3.31;0;84.75;0
8/10/2024 3:10;5.6;3.32;0;84.73;0
8/10/2024 3:12;5.5;3.29;0;84.69;0
8/10/2024 3:14;5.46;3.28;0;84.74;0
8/10/2024 3:16;5.39;3.28;0;84.71;0
8/10/2024 3:18;5.43;3.26;0;84.75;0
8/10/2024 3:19;5.51;3.24;0;84.75;0
8/10/2024 3:21;5.65;3.25;0;84.75;0
8/10/2024 3:23;5.67;3.24;0;84.74;0
8/10/2024 3:25;5.63;3.25;0;84.7;0
8/10/2024 3:27;5.57;3.27;0;84.78;0
8/10/2024 3:29;5.52;3.26;0;84.7;0
8/10/2024 3:31;5.5;3.22;0;84.74;0
8/10/2024 3:33;5.46;3.28;0;84.76;0
8/10/2024 3:35;5.41;3.26;0;84.77;0
8/10/2024 3:37;5.42;3.27;0;84.77;0
8/10/2024 3:39;5.41;3.29;0;84.75;0
8/10/2024 3:41;5.41;3.28;0;84.77;0
8/10/2024 3:43;5.41;3.28;0;84.68;0
8/10/2024 3:45;5.34;3.25;0;84.72;0
8/10/2024 3:47;5.25;3.24;0;84.69;0
8/10/2024 3:49;5.2;3.24;0;84.73;0
8/10/2024 3:51;5.23;3.25;0;84.79;0
8/10/2024 3:53;5.33;3.27;0;84.65;0
8/10/2024 3:55;5.3;3.27;0;84.62;0
8/10/2024 3:57;5.23;3.31;0;84.7;0
8/10/2024 3:59;5.13;3.23;0;84.73;0
8/10/2024 4:01;5.1;3.22;0;84.7;0
8/10/2024 4:03;5.17;3.23;0;84.68;0
8/10/2024 4:05;5.16;3.23;0;84.75;0
8/10/2024 4:07;5.12;3.24;0;84.73;0
8/10/2024 4:09;5.15;3.3;0;84.67;0
8/10/2024 4:11;5.15;3.28;0;84.71;0
8/10/2024 4:13;5.12;3.28;0;84.78;0
8/10/2024 4:15;5.05;3.26;0;84.73;0
8/10/2024 4:17;5.1;3.28;0;84.73;0
8/10/2024 4:19;5.21;3.29;0;84.73;0
8/10/2024 4:21;5.15;3.28;0;84.75;0
8/10/2024 4:23;5.12;3.26;0;84.67;0
8/10/2024 4:25;5.15;3.25;0;84.79;0
8/10/2024 4:27;5.12;3.24;0;84.75;0
8/10/2024 4:29;5.07;3.24;0;84.66;0
8/10/2024 4:31;5.26;3.24;0;84.76;0
8/10/2024 4:33;5.53;3.25;0;84.81;0
8/10/2024 4:35;5.63;3.25;0;84.66;0
8/10/2024 4:37;5.65;3.24;0;84.72;0
8/10/2024 4:39;5.56;3.27;0;84.8;0
8/10/2024 4:41;5.44;3.27;0;84.77;0
8/10/2024 4:43;5.33;3.26;0;84.67;0
8/10/2024 4:45;5.26;3.28;0;84.69;0
8/10/2024 4:47;5.25;3.29;0;84.74;0
8/10/2024 4:49;5.35;3.3;0;84.68;0
8/10/2024 4:51;5.41;3.29;0;84.78;0
8/10/2024 4:53;5.46;3.33;0;84.63;0
8/10/2024 4:55;5.48;3.32;0;84.75;0
8/10/2024 4:57;5.4;3.3;0;84.73;0
8/10/2024 4:59;5.27;3.32;0;84.79;0
8/10/2024 5:01;5.11;3.31;0;84.71;0
8/10/2024 5:03;5.08;3.33;0;84.74;0
8/10/2024 5:05;5.03;3.3;0;84.7;0
8/10/2024 5:07;4.85;3.32;0;84.74;0
8/10/2024 5:09;4.72;3.28;0;84.72;0
8/10/2024 5:11;4.54;3.33;0;84.58;0
8/10/2024 5:13;4.39;3.31;0;84.68;0
8/10/2024 5:15;4.29;3.31;0;84.67;0
8/10/2024 5:17;4.21;3.33;0;84.66;0
8/10/2024 5:19;4.16;3.35;0;84.68;0
8/10/2024 5:21;4.21;3.35;0;84.67;0
8/10/2024 5:23;4.32;3.29;0;84.69;0
8/10/2024 5:25;4.42;3.35;0;84.74;0
8/10/2024 5:27;4.51;3.33;0;84.7;0
8/10/2024 5:29;4.55;3.33;0;84.62;0
8/10/2024 5:31;4.59;3.36;0;84.7;0
8/10/2024 5:33;4.72;3.33;0;84.63;0
8/10/2024 5:35;4.88;3.36;0;84.67;0
8/10/2024 5:37;4.9;3.38;0;84.69;0
8/10/2024 5:39;4.82;3.37;0;84.73;0
8/10/2024 5:41;4.68;3.36;0;84.74;0
8/10/2024 5:43;4.59;3.36;0;84.68;0
8/10/2024 5:45;4.76;3.31;0;84.72;0
8/10/2024 5:47;4.87;3.35;0;84.76;0
8/10/2024 5:49;4.86;3.35;0;84.77;0
8/10/2024 5:51;4.84;3.35;0;84.77;0
8/10/2024 5:53;4.99;3.36;0;84.73;0
8/10/2024 5:55;4.93;3.36;0;84.69;0
8/10/2024 5:57;4.85;3.34;0;84.75;0
8/10/2024 5:59;4.57;3.31;0;84.75;0
8/10/2024 6:01;4.38;3.35;0;84.68;0
8/10/2024 6:03;4.24;3.27;0;84.7;0
8/10/2024 6:05;4.3;3.33;0;84.68;0
8/10/2024 6:07;4.54;3.36;0;84.74;0
8/10/2024 6:09;4.69;3.36;0;84.71;0
8/10/2024 6:11;4.83;3.32;0;84.68;0
8/10/2024 6:13;4.82;3.33;0;84.71;0
8/10/2024 6:15;4.69;3.35;0;84.67;0
8/10/2024 6:17;4.55;3.37;0;84.72;0
8/10/2024 6:19;4.43;3.31;0;84.73;0
8/10/2024 6:21;4.38;3.32;0;84.79;0
8/10/2024 6:23;4.43;3.32;0;84.76;0
8/10/2024 6:25;4.53;3.34;0;84.69;0
8/10/2024 6:27;4.55;3.34;0;84.62;0
8/10/2024 6:29;4.63;3.35;0;84.68;0
8/10/2024 6:31;4.78;3.29;0;84.74;0
8/10/2024 6:33;4.94;3.3;0;84.66;0
8/10/2024 6:35;4.87;3.27;0;84.72;0
8/10/2024 6:37;4.82;3.3;0;84.71;0
8/10/2024 6:39;5.01;3.28;0;84.79;0
8/10/2024 6:41;4.83;3.28;0;84.75;0
