tijdstip;temperatuur;PAR;zonlicht;RV;neerslag
1/08/2024 0:00;20.32;2.75;745;61.45;0
1/08/2024 0:02;20.27;2.72;744.43;61.58;0
1/08/2024 0:04;20.24;2.74;731.36;61.28;0
1/08/2024 0:06;20.23;2.76;728.73;61.48;0
1/08/2024 0:08;20.22;2.74;732.15;61.61;0
1/08/2024 0:10;20.21;2.74;728.96;61.7;0
1/08/2024 0:12;20.19;2.72;733.39;61.76;0
1/08/2024 0:14;20.19;2.74;731.51;61.69;0
1/08/2024 0:16;20.19;2.76;715.21;61.69;0
1/08/2024 0:18;20.18;2.77;718.42;61.68;0
1/08/2024 0:20;20.18;2.75;723.26;61.53;0
1/08/2024 0:22;20.18;2.74;716.1;61.17;0
1/08/2024 0:24;20.18;2.73;719.75;61.27;0
1/08/2024 0:26;20.17;2.68;723.86;61.13;0
1/08/2024 0:28;20.15;2.71;718.27;61.28;0
1/08/2024 0:30;20.12;2.71;714.29;61.47;0
1/08/2024 0:32;20.09;2.72;711.98;61.53;0
1/08/2024 0:34;20.08;2.69;713.69;61.38;0
1/08/2024 0:36;20.06;2.68;715.96;61.15;0
1/08/2024 0:38;20.06;2.69;709.53;61.26;0
1/08/2024 0:40;20.06;2.68;705.83;60.73;0
1/08/2024 0:42;20.06;2.69;706.49;60.61;0
1/08/2024 0:44;20.06;2.71;706.29;60.44;0
1/08/2024 0:46;20.04;2.67;723.34;59.62;0
1/08/2024 0:48;20.03;2.65;729.55;59.26;0
1/08/2024 0:50;20.03;2.71;750.82;59.08;0
1/08/2024 0:52;20.03;2.73;690.11;58.92;0
1/08/2024 0:54;20.02;2.73;688.11;58.98;0
1/08/2024 0:56;20.02;2.67;686.41;58.45;0
1/08/2024 0:58;20.03;2.69;682.32;58.37;0
1/08/2024 1:00;20.02;2.67;686.43;58.27;0
1/08/2024 1:02;20.01;2.66;681.03;58.38;0
1/08/2024 1:04;19.99;2.69;678.26;58.53;0
1/08/2024 1:06;19.96;2.65;685;58.43;0
1/08/2024 1:08;19.93;2.69;705.34;58.3;0
1/08/2024 1:10;19.91;2.7;690.43;58.45;0
1/08/2024 1:12;19.88;2.72;681.88;58.52;0
1/08/2024 1:14;19.86;2.76;690.61;58.83;0
1/08/2024 1:16;19.83;2.71;675;59.1;0
1/08/2024 1:18;19.79;2.68;678;59.48;0
1/08/2024 1:20;19.73;2.74;674.61;59.54;0
1/08/2024 1:22;19.69;2.72;682.39;59.67;0
1/08/2024 1:24;19.64;2.71;672.13;60.2;0
1/08/2024 1:26;19.6;2.76;684.45;60.39;0
1/08/2024 1:28;19.61;2.77;677.11;60.41;0
1/08/2024 1:30;19.6;2.72;677.79;60.53;0
1/08/2024 1:32;19.59;2.75;672.73;60.47;0
